PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;KODHN;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
3041;48017601;Andrena nitida;;Blanokøídlí;Mokrejš Martin;20190425;20190425;;7179972;Støíbrnice - Hájeèek;5867;Støíbrnice;-564612;-1053380;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;samice;;;;0;opìt parazitovaná øasníkem Stylops melittae, potenciálnì stejnı exempláø jako nález ID 48017573 ale o 9 minut pozdìji a 30m jinde;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200103
3042;48017580;Andrena sp.;;Blanokøídlí;Mokrejš Martin;20190425;20190425;;7179965;Støíbrnice - Hájeèek;5867;Støíbrnice;-564612;-1053380;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;samci;;;;0;Andrena sp., samec, druh nelze urèit;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200103
3043;48017573;Andrena nitida;;Blanokøídlí;Mokrejš Martin;20190425;20190425;;7179958;Støíbrnice - Hájeèek;5867;Støíbrnice;-564629;-1053366;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;samice;;;;0;opìt parazitovaná øasníkem Stylops melittae;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200103
3044;48017522;Andrena wilkella;;Blanokøídlí;Mokrejš Martin;20190622;20190622;;7179893;Nová Seninka;5767;Nová Seninka;-563090;-1051085;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;;0;;;;;0;Andrena sp. ze skupiny A. ovatula. Podle barvy nejspíše A. wilkella, ale není to jisté.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200103
3045;48016616;Andrena denticulata;;Blanokøídlí;Mokrejš Martin;20190728;20190728;;7179462;Kunèice pod Králickım Snìníkem;5767;Kunèice pod Králickım Snìníkem;-563367;-1051273;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;jedinci;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200102
3046;48016479;Andrena hattorfiana;pískorypka chrastavcová;Blanokøídlí;Mokrejš Martin;20190615;20190615;;7179445;Chrastice;5867;Chrastice;-563629;-1058315;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;jedinci;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;;;;;;;EN;;;;0;20200102
3047;48016478;Andrena hattorfiana;pískorypka chrastavcová;Blanokøídlí;Mokrejš Martin;20190615;20190615;;7179444;Chrastice;5867;Chrastice;-563641;-1058306;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;jedinci;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;;;;;;;EN;;;;0;20200102
3048;48016392;Andrena nitida;;Blanokøídlí;Mokrejš Martin;20190425;20190425;;7179408;Støíbrnice - Hájeèek;5867;Støíbrnice;-564620;-1053374;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;samice;;;;0;Parazitovaná øasníkem Stylops melittae. Je vidìt jen na fotce z boku, ale je to jasné.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200102
3049;48005932;Andrena hattorfiana;pískorypka chrastavcová;Blanokøídlí;Koïousek Václav;20190628;20190628;;7176856;Kopanina;5357;Snìhov;-680964.97;-987010.63;KOÏOUSEK V. (2019) Terénní zápisky - náhodná pozorování.;0;;0;;1-10;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;EN;;;;10;20191222
3050;48005927;Andrena flavipes;;Blanokøídlí;Koïousek Václav;20190702;20190702;;7176853;Turnov;5456;Dalimìøice;-683261.93;-993679.79;KOÏOUSEK V. (2019) Terénní zápisky - náhodná pozorování.;0;;0;;11-100;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;;;;;10;20191222
3051;47999087;Andrena cineraria;;Blanokøídlí;Koïousek Václav;20190530;20190530;;7176216;Ohrazenice;5356;Ohrazenice u Turnova;-684724.83;-992839.18;KOÏOUSEK V. (2019) Terénní zápisky - náhodná pozorování.;0;1;0;jedinci;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;;;;;10;20191220
3052;47995116;Andrena fulva;;Blanokøídlí;Koïousek Václav;20190410;20190410;;7174982;Turnov;5456;Dalimìøice;-683553.16;-993780.57;KOÏOUSEK V. (2019) Terénní zápisky - náhodná pozorování.;0;1;0;jedinci;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;;;;;10;20191218;20191217;25501
3053;47993603;Andrena sp.;;Blanokøídlí;Mokrejš Martin;20190527;20190527;;7173966;Nová Seninka;5767;Nová Seninka;-563070;-1051082;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;;0;hnízda;;;;0;Ani rodové urèení nemusí bıt správné, jde mi jen o evidenci hnízd.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20191216
3054;47993602;Andrena sp.;;Blanokøídlí;Mokrejš Martin;20190527;20190527;;7173962;Nová Seninka;5767;Nová Seninka;-563069;-1051083;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;;0;hnízda;;;;0;Ani rodové urèení nemusí bıt správné, jde mi jen o evidenci hnízd.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20191216
