PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;KODHN;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
703;31432867;Osmia bicolor;;Blanokøídlí;Erhart Jan;20060501;20060609;;5180313;NPR Vyšenské kopce 522;7151;Kladné-Dobrkovice;-770953;-1181084;DVOØÁK L., STRAKA J., SMETANA V. et al. (2007) ahadloví blanokøídlí (Hymenoptera: Chrysidoidea, Vespoidea, Apoidea) Národní pøírodní rezevace Vyšenské kopce (jiní Èechy). Klapalekiana. 43, 3-4. s. 163-185.;0;28;0;samice;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;803;20130719
704;31432866;Osmia rufa;;Blanokøídlí;Erhart Jan;20060501;20060609;;5180313;NPR Vyšenské kopce 522;7151;Kladné-Dobrkovice;-770953;-1181084;DVOØÁK L., STRAKA J., SMETANA V. et al. (2007) ahadloví blanokøídlí (Hymenoptera: Chrysidoidea, Vespoidea, Apoidea) Národní pøírodní rezevace Vyšenské kopce (jiní Èechy). Klapalekiana. 43, 3-4. s. 163-185.;0;1;0;samice;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;803;20130719;20130719;90
705;31432861;Osmia bicolor;;Blanokøídlí;Straka Jakub;20060609;20060609;;5180313;NPR Vyšenské kopce 522;7151;Kladné-Dobrkovice;-770953;-1181084;DVOØÁK L., STRAKA J., SMETANA V. et al. (2007) ahadloví blanokøídlí (Hymenoptera: Chrysidoidea, Vespoidea, Apoidea) Národní pøírodní rezevace Vyšenské kopce (jiní Èechy). Klapalekiana. 43, 3-4. s. 163-185.;0;1;0;samice;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;803;20130719;20130719;90
706;26618101;Osmia caerulescens;;Blanokøídlí;Mikát Miroslav;20110327;20110831;;5072119;PR Pøesypy u Rokytna - písèina západnì od PR;5861;Rokytno;-637830;-1053852;MIKÁT M. (2011) Entomologickı prùzkum v PR Pøesypy u Rokytna a na pøilehlıch písèitıch stanovištích v roce 2011.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Králová Tereza;0;vìrohodnı záznam;;Návrh validace;;;;;;;236;94;20121217
707;26576640;Osmia brevicornis;;Blanokøídlí;Farkaè Jan, Joza Vít, Brejšková Lucie, Horák Jan, Øíha Martin;20120101;20121031;;5068788;Chlumec u Chabaøovic;5249;Chlumec u Chabaøovic;-767255;-970304;FARKAÈ J. (2012) Vısledky biologického prùzkumu vymezenıch území v Chlumci.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Vojtìchovská Eva;0;;;;;;;;;;273;346;20121127
708;26488241;Osmia rufa;;Blanokøídlí;Blaej Lukáš;20120621;20120922;;5056734;PR Sojèí rokle;5152;Janská;-734486;-963382;BLAEJ L. (2012) Závìreèná zpráva z inventarizaèního prùzkumu bezobratlıch v navrené ZCHÚ Maiberg a Sojèí rokle. AOPK ÈR. s. 6.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Bìlohoubek Jiøí;0;vìrohodnı záznam;;Návrh validace;;;;;;_;295;282;20121025
709;26488110;Osmia rufa;;Blanokøídlí;Blaej Lukáš;20120621;20120922;;5056081;PR Maiberg;5152;Dolní Kamenice;-734019;-963000;BLAEJ L. (2012) Závìreèná zpráva z inventarizaèního prùzkumu bezobratlıch v navrené ZCHÚ Maiberg a Sojèí rokle. AOPK ÈR. s. 6.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Bìlohoubek Jiøí;0;;;;;;;;;_;335;382;20121025
710;26483738;Osmia rufa;;Blanokøídlí;Blaej Lukáš;20120621;20120922;;5056083;PR Holı vrch u Jílového;5250;Modrá u Dìèína;-755826;-964113;BLAEJ L. (2012) Závìreèná zpráva z inventarizaèního prùzkumu bezobratlıch v navrené ZCHÚ Holı vrch.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Bìlohoubek Jiøí;0;;;;;;;;;_;510;495;20121024
711;26483737;Osmia parietina;zednice zední;Blanokøídlí;Blaej Lukáš;20120621;20120922;;5056083;PR Holı vrch u Jílového;5250;Modrá u Dìèína;-755826;-964113;BLAEJ L. (2012) Závìreèná zpráva z inventarizaèního prùzkumu bezobratlıch v navrené ZCHÚ Holı vrch.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Bìlohoubek Jiøí;0;vìrohodnı záznam;;Návrh validace;;;;VU;;_;510;495;20121024
712;23348856;Osmia cerinthidis;zednice voskovková;Blanokøídlí;Pavlíèko Alois;20120404;20120404;;4976431;Stará Boleslav, Proboštské jezero a louky II.;5753;Stará Boleslav;-724092;-1032385;PAVLÍÈKO A. (2012) Terénní deník a pozorování (9/2012).;0;1;0;jedinci;ojedinìle;;;0;;louky s nálety døevin vıchodnì a jinì vodní plochy;xerothermní a vysıchavé trávníky navazující na spopleèenstva s kolísavım vodním sloupcem;Nutno pøeurèit (doklad u autora);Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Pavlíèko Alois;0;vìrohodnı záznam;;Návrh validace;;;;CR;;;169;0;20120405
