PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;KODHN;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
1373;45526137;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171117;20171117;;6651073;KÚ: Troskotovice;7064;Troskotovice;-613005.88;-1189748.16;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;3;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
1374;45526136;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171117;20171117;;6651072;KÚ: Troskotovice;7064;Troskotovice;-612978.58;-1189779.13;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;1;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
1375;45526135;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171117;20171117;;6651071;KÚ: Troskotovice;7064;Troskotovice;-612965.08;-1189749.55;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;1;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
1376;45526134;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171117;20171117;;6651070;KÚ: Troskotovice;7064;Troskotovice;-615521.79;-1189812.08;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;2;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
1377;45526133;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171117;20171117;;6651069;KÚ: Troskotovice;7064;Troskotovice;-615461.09;-1189818.8;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;1;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
1378;45526132;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171117;20171117;;6651068;KÚ: Troskotovice;7064;Troskotovice;-615432.13;-1189871.73;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;1;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
1379;45526131;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171117;20171117;;6651067;KÚ: Troskotovice;7064;Troskotovice;-615419.99;-1189873.08;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;3;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
1380;45526130;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171112;20171112;;6651066;KÚ: Lechovice;7163;Lechovice;-629367.57;-1192968.3;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;1;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
1381;45526129;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171111;20171111;;6651065;KÚ: Bøezí u Mikulova;7165;Bøezí u Mikulova;-605742.75;-1202406.81;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;8;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
1382;45526128;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171111;20171111;;6651064;KÚ: Mikulov na Moravì;7265;Mikulov na Moravì;-602601.01;-1205099.17;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;3;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
